author,href
"<div class=""bibref"">
@InProceedings{Queau_2017_CVPR,<br>
author = {Queau, Yvain and Wu, Tao and Lauze, Francois and Durou, Jean-Denis and Cremers, Daniel},<br>
title = {A Non-Convex Variational Approach to Photometric Stereo Under Inaccurate Lighting},<br>
booktitle = {The IEEE Conference on Computer Vision and Pattern Recognition (CVPR)},<br>
month = {July},<br>
year = {2017}<br>
}
</div>","<a href=""content_cvpr_2017/papers/Queau_A_Non-Convex_Variational_CVPR_2017_paper.pdf"">pdf</a>"
"<div class=""bibref"">
@InProceedings{Varol_2017_CVPR,<br>
author = {Varol, Gul and Romero, Javier and Martin, Xavier and Mahmood, Naureen and Black, Michael J. and Laptev, Ivan and Schmid, Cordelia},<br>
title = {Learning From Synthetic Humans},<br>
booktitle = {The IEEE Conference on Computer Vision and Pattern Recognition (CVPR)},<br>
month = {July},<br>
year = {2017}<br>
}
</div>","<a href=""content_cvpr_2017/papers/Varol_Learning_From_Synthetic_CVPR_2017_paper.pdf"">pdf</a>"
"<div class=""bibref"">
@InProceedings{Long_2017_CVPR,<br>
author = {Long, Chengjiang and Hua, Gang},<br>
title = {Correlational Gaussian Processes for Cross-Domain Visual Recognition},<br>
booktitle = {The IEEE Conference on Computer Vision and Pattern Recognition (CVPR)},<br>
month = {July},<br>
year = {2017}<br>
}
</div>","<a href=""content_cvpr_2017/papers/Long_Correlational_Gaussian_Processes_CVPR_2017_paper.pdf"">pdf</a>"
"<div class=""bibref"">
@InProceedings{Hong_2017_CVPR,<br>
author = {Hyeong Hong, Je and Zach, Christopher and Fitzgibbon, Andrew},<br>
title = {Revisiting the Variable Projection Method for Separable Nonlinear Least Squares Problems},<br>
booktitle = {The IEEE Conference on Computer Vision and Pattern Recognition (CVPR)},<br>
month = {July},<br>
year = {2017}<br>
}
</div>","<a href=""content_cvpr_2017/papers/Hong_Revisiting_the_Variable_CVPR_2017_paper.pdf"">pdf</a>"
"<div class=""bibref"">
@InProceedings{Wang_2017_CVPR,<br>
author = {Wang, Lijun and Lu, Huchuan and Wang, Yifan and Feng, Mengyang and Wang, Dong and Yin, Baocai and Ruan, Xiang},<br>
title = {Learning to Detect Salient Objects With Image-Level Supervision},<br>
booktitle = {The IEEE Conference on Computer Vision and Pattern Recognition (CVPR)},<br>
month = {July},<br>
year = {2017}<br>
}
</div>","<a href=""content_cvpr_2017/papers/Wang_Learning_to_Detect_CVPR_2017_paper.pdf"">pdf</a>"
"<div class=""bibref"">
@InProceedings{Qin_2017_CVPR,<br>
author = {Qin, Jie and Liu, Li and Shao, Ling and Ni, Bingbing and Chen, Chen and Shen, Fumin and Wang, Yunhong},<br>
title = {Binary Coding for Partial Action Analysis With Limited Observation Ratios},<br>
booktitle = {The IEEE Conference on Computer Vision and Pattern Recognition (CVPR)},<br>
month = {July},<br>
year = {2017}<br>
}
</div>","<a href=""content_cvpr_2017/papers/Qin_Binary_Coding_for_CVPR_2017_paper.pdf"">pdf</a>"
"<div class=""bibref"">
@InProceedings{Lea_2017_CVPR,<br>
author = {Lea, Colin and Flynn, Michael D. and Vidal, Rene and Reiter, Austin and Hager, Gregory D.},<br>
title = {Temporal Convolutional Networks for Action Segmentation and Detection},<br>
booktitle = {The IEEE Conference on Computer Vision and Pattern Recognition (CVPR)},<br>
month = {July},<br>
year = {2017}<br>
}
</div>","<a href=""content_cvpr_2017/papers/Lea_Temporal_Convolutional_Networks_CVPR_2017_paper.pdf"">pdf</a>"
"<div class=""bibref"">
@InProceedings{Gurumurthy_2017_CVPR,<br>
author = {Gurumurthy, Swaminathan and Kiran Sarvadevabhatla, Ravi and Venkatesh Babu, R.},<br>
title = {DeLiGAN : Generative Adversarial Networks for Diverse and Limited Data},<br>
booktitle = {The IEEE Conference on Computer Vision and Pattern Recognition (CVPR)},<br>
month = {July},<br>
year = {2017}<br>
}
</div>","<a href=""content_cvpr_2017/papers/Gurumurthy_DeLiGAN__Generative_CVPR_2017_paper.pdf"">pdf</a>"
"<div class=""bibref"">
@InProceedings{Talmi_2017_CVPR,<br>
author = {Talmi, Itamar and Mechrez, Roey and Zelnik-Manor, Lihi},<br>
title = {Template Matching With Deformable Diversity Similarity},<br>
booktitle = {The IEEE Conference on Computer Vision and Pattern Recognition (CVPR)},<br>
month = {July},<br>
year = {2017}<br>
}
</div>","<a href=""content_cvpr_2017/papers/Talmi_Template_Matching_With_CVPR_2017_paper.pdf"">pdf</a>"
"<div class=""bibref"">
@InProceedings{Boukhayma_2017_CVPR,<br>
author = {Boukhayma, Adnane and Franco, Jean-Sebastien and Boyer, Edmond},<br>
title = {Surface Motion Capture Transfer With Gaussian Process Regression},<br>
booktitle = {The IEEE Conference on Computer Vision and Pattern Recognition (CVPR)},<br>
month = {July},<br>
year = {2017}<br>
}
</div>","<a href=""content_cvpr_2017/papers/Boukhayma_Surface_Motion_Capture_CVPR_2017_paper.pdf"">pdf</a>"
"<div class=""bibref"">
@InProceedings{Li_2017_CVPR,<br>
author = {Li, Ang and Sun, Jin and Yue-Hei Ng, Joe and Yu, Ruichi and Morariu, Vlad I. and Davis, Larry S.},<br>
title = {Generating Holistic 3D Scene Abstractions for Text-Based Image Retrieval},<br>
booktitle = {The IEEE Conference on Computer Vision and Pattern Recognition (CVPR)},<br>
month = {July},<br>
year = {2017}<br>
}
</div>","<a href=""content_cvpr_2017/papers/Li_Generating_Holistic_3D_CVPR_2017_paper.pdf"">pdf</a>"
"<div class=""bibref"">
@InProceedings{Mahasseni_2017_CVPR,<br>
author = {Mahasseni, Behrooz and Lam, Michael and Todorovic, Sinisa},<br>
title = {Unsupervised Video Summarization With Adversarial LSTM Networks},<br>
booktitle = {The IEEE Conference on Computer Vision and Pattern Recognition (CVPR)},<br>
month = {July},<br>
year = {2017}<br>
}
</div>","<a href=""content_cvpr_2017/papers/Mahasseni_Unsupervised_Video_Summarization_CVPR_2017_paper.pdf"">pdf</a>"
"<div class=""bibref"">
@InProceedings{Liu_2017_CVPR,<br>
author = {Liu, Weiyang and Wen, Yandong and Yu, Zhiding and Li, Ming and Raj, Bhiksha and Song, Le},<br>
title = {SphereFace: Deep Hypersphere Embedding for Face Recognition},<br>
booktitle = {The IEEE Conference on Computer Vision and Pattern Recognition (CVPR)},<br>
month = {July},<br>
year = {2017}<br>
}
</div>","<a href=""content_cvpr_2017/papers/Liu_SphereFace_Deep_Hypersphere_CVPR_2017_paper.pdf"">pdf</a>"
"<div class=""bibref"">
@InProceedings{Caelles_2017_CVPR,<br>
author = {Caelles, Sergi and Maninis, Kevis-Kokitsi and Pont-Tuset, Jordi and Leal-Taixe, Laura and Cremers, Daniel and Van Gool, Luc},<br>
title = {One-Shot Video Object Segmentation},<br>
booktitle = {The IEEE Conference on Computer Vision and Pattern Recognition (CVPR)},<br>
month = {July},<br>
year = {2017}<br>
}
</div>","<a href=""content_cvpr_2017/papers/Caelles_One-Shot_Video_Object_CVPR_2017_paper.pdf"">pdf</a>"
"<div class=""bibref"">
@InProceedings{Seki_2017_CVPR,<br>
author = {Seki, Akihito and Pollefeys, Marc},<br>
title = {SGM-Nets: Semi-Global Matching With Neural Networks},<br>
booktitle = {The IEEE Conference on Computer Vision and Pattern Recognition (CVPR)},<br>
month = {July},<br>
year = {2017}<br>
}
</div>","<a href=""content_cvpr_2017/papers/Seki_SGM-Nets_Semi-Global_Matching_CVPR_2017_paper.pdf"">pdf</a>"
"<div class=""bibref"">
@InProceedings{Ganju_2017_CVPR,<br>
author = {Ganju, Siddha and Russakovsky, Olga and Gupta, Abhinav},<br>
title = {What's in a Question: Using Visual Questions as a Form of Supervision},<br>
booktitle = {The IEEE Conference on Computer Vision and Pattern Recognition (CVPR)},<br>
month = {July},<br>
year = {2017}<br>
}
</div>","<a href=""content_cvpr_2017/papers/Ganju_Whats_in_a_CVPR_2017_paper.pdf"">pdf</a>"
"<div class=""bibref"">
@InProceedings{Vedantam_2017_CVPR,<br>
author = {Vedantam, Ramakrishna and Bengio, Samy and Murphy, Kevin and Parikh, Devi and Chechik, Gal},<br>
title = {Context-Aware Captions From Context-Agnostic Supervision},<br>
booktitle = {The IEEE Conference on Computer Vision and Pattern Recognition (CVPR)},<br>
month = {July},<br>
year = {2017}<br>
}
</div>","<a href=""content_cvpr_2017/papers/Vedantam_Context-Aware_Captions_From_CVPR_2017_paper.pdf"">pdf</a>"
"<div class=""bibref"">
@InProceedings{Cevikalp_2017_CVPR,<br>
author = {Cevikalp, Hakan and Triggs, Bill},<br>
title = {Polyhedral Conic Classifiers for Visual Object Detection and Classification},<br>
booktitle = {The IEEE Conference on Computer Vision and Pattern Recognition (CVPR)},<br>
month = {July},<br>
year = {2017}<br>
}
</div>","<a href=""content_cvpr_2017/papers/Cevikalp_Polyhedral_Conic_Classifiers_CVPR_2017_paper.pdf"">pdf</a>"
"<div class=""bibref"">
@InProceedings{Godard_2017_CVPR,<br>
author = {Godard, Clement and Mac Aodha, Oisin and Brostow, Gabriel J.},<br>
title = {Unsupervised Monocular Depth Estimation With Left-Right Consistency},<br>
booktitle = {The IEEE Conference on Computer Vision and Pattern Recognition (CVPR)},<br>
month = {July},<br>
year = {2017}<br>
}
</div>","<a href=""content_cvpr_2017/papers/Godard_Unsupervised_Monocular_Depth_CVPR_2017_paper.pdf"">pdf</a>"
"<div class=""bibref"">
@InProceedings{Larsson_2017_CVPR,<br>
author = {Larsson, Viktor and Olsson, Carl},<br>
title = {Compact Matrix Factorization With Dependent Subspaces},<br>
booktitle = {The IEEE Conference on Computer Vision and Pattern Recognition (CVPR)},<br>
month = {July},<br>
year = {2017}<br>
}
</div>","<a href=""content_cvpr_2017/papers/Larsson_Compact_Matrix_Factorization_CVPR_2017_paper.pdf"">pdf</a>"
"<div class=""bibref"">
@InProceedings{Ren_2017_CVPR,<br>
author = {Ren, Zhou and Wang, Xiaoyu and Zhang, Ning and Lv, Xutao and Li, Li-Jia},<br>
title = {Deep Reinforcement Learning-Based Image Captioning With Embedding Reward},<br>
booktitle = {The IEEE Conference on Computer Vision and Pattern Recognition (CVPR)},<br>
month = {July},<br>
year = {2017}<br>
}
</div>","<a href=""content_cvpr_2017/papers/Ren_Deep_Reinforcement_Learning-Based_CVPR_2017_paper.pdf"">pdf</a>"
"<div class=""bibref"">
@InProceedings{Nam_2017_CVPR,<br>
author = {Nam, Hyeonseob and Ha, Jung-Woo and Kim, Jeonghee},<br>
title = {Dual Attention Networks for Multimodal Reasoning and Matching},<br>
booktitle = {The IEEE Conference on Computer Vision and Pattern Recognition (CVPR)},<br>
month = {July},<br>
year = {2017}<br>
}
</div>","<a href=""content_cvpr_2017/papers/Nam_Dual_Attention_Networks_CVPR_2017_paper.pdf"">pdf</a>"
"<div class=""bibref"">
@InProceedings{Wijmans_2017_CVPR,<br>
author = {Wijmans, Erik and Furukawa, Yasutaka},<br>
title = {Exploiting 2D Floorplan for Building-Scale Panorama RGBD Alignment},<br>
booktitle = {The IEEE Conference on Computer Vision and Pattern Recognition (CVPR)},<br>
month = {July},<br>
year = {2017}<br>
}
</div>","<a href=""content_cvpr_2017/papers/Wijmans_Exploiting_2D_Floorplan_CVPR_2017_paper.pdf"">pdf</a>"
"<div class=""bibref"">
@InProceedings{Krause_2017_CVPR,<br>
author = {Krause, Jonathan and Johnson, Justin and Krishna, Ranjay and Fei-Fei, Li},<br>
title = {A Hierarchical Approach for Generating Descriptive Image Paragraphs},<br>
booktitle = {The IEEE Conference on Computer Vision and Pattern Recognition (CVPR)},<br>
month = {July},<br>
year = {2017}<br>
}
</div>","<a href=""content_cvpr_2017/papers/Krause_A_Hierarchical_Approach_CVPR_2017_paper.pdf"">pdf</a>"
"<div class=""bibref"">
@InProceedings{Das_2017_CVPR,<br>
author = {Das, Abhishek and Kottur, Satwik and Gupta, Khushi and Singh, Avi and Yadav, Deshraj and Moura, Jose M. F. and Parikh, Devi and Batra, Dhruv},<br>
title = {Visual Dialog},<br>
booktitle = {The IEEE Conference on Computer Vision and Pattern Recognition (CVPR)},<br>
month = {July},<br>
year = {2017}<br>
}
</div>","<a href=""content_cvpr_2017/papers/Das_Visual_Dialog_CVPR_2017_paper.pdf"">pdf</a>"
"<div class=""bibref"">
@InProceedings{Lee_2017_CVPR,<br>
author = {Lee, Namhoon and Choi, Wongun and Vernaza, Paul and Choy, Christopher B. and Torr, Philip H. S. and Chandraker, Manmohan},<br>
title = {DESIRE: Distant Future Prediction in Dynamic Scenes With Interacting Agents},<br>
booktitle = {The IEEE Conference on Computer Vision and Pattern Recognition (CVPR)},<br>
month = {July},<br>
year = {2017}<br>
}
</div>","<a href=""content_cvpr_2017/papers/Lee_DESIRE_Distant_Future_CVPR_2017_paper.pdf"">pdf</a>"
"<div class=""bibref"">
@InProceedings{Zhang_2017_CVPR,<br>
author = {Zhang, Quanshi and Cao, Ruiming and Nian Wu, Ying and Zhu, Song-Chun},<br>
title = {Mining Object Parts From CNNs via Active Question-Answering},<br>
booktitle = {The IEEE Conference on Computer Vision and Pattern Recognition (CVPR)},<br>
month = {July},<br>
year = {2017}<br>
}
</div>","<a href=""content_cvpr_2017/papers/Zhang_Mining_Object_Parts_CVPR_2017_paper.pdf"">pdf</a>"
"<div class=""bibref"">
@InProceedings{He_2017_CVPR,<br>
author = {He, Lifang and Lu, Chun-Ta and Ding, Hao and Wang, Shen and Shen, Linlin and Yu, Philip S. and Ragin, Ann B.},<br>
title = {Multi-Way Multi-Level Kernel Modeling for Neuroimaging Classification},<br>
booktitle = {The IEEE Conference on Computer Vision and Pattern Recognition (CVPR)},<br>
month = {July},<br>
year = {2017}<br>
}
</div>","<a href=""content_cvpr_2017/papers/He_Multi-Way_Multi-Level_Kernel_CVPR_2017_paper.pdf"">pdf</a>"
"<div class=""bibref"">
@InProceedings{Kong_2017_CVPR,<br>
author = {Kong, Shu and Fowlkes, Charless},<br>
title = {Low-Rank Bilinear Pooling for Fine-Grained Classification},<br>
booktitle = {The IEEE Conference on Computer Vision and Pattern Recognition (CVPR)},<br>
month = {July},<br>
year = {2017}<br>
}
</div>","<a href=""content_cvpr_2017/papers/Kong_Low-Rank_Bilinear_Pooling_CVPR_2017_paper.pdf"">pdf</a>"
"<div class=""bibref"">
@InProceedings{Lu_2017_CVPR,<br>
author = {Lu, Jiasen and Xiong, Caiming and Parikh, Devi and Socher, Richard},<br>
title = {Knowing When to Look: Adaptive Attention via a Visual Sentinel for Image Captioning},<br>
booktitle = {The IEEE Conference on Computer Vision and Pattern Recognition (CVPR)},<br>
month = {July},<br>
year = {2017}<br>
}
</div>","<a href=""content_cvpr_2017/papers/Lu_Knowing_When_to_CVPR_2017_paper.pdf"">pdf</a>"
"<div class=""bibref"">
@InProceedings{Li_2017_CVPR,<br>
author = {Li, Dangwei and Chen, Xiaotang and Zhang, Zhang and Huang, Kaiqi},<br>
title = {Learning Deep Context-Aware Features Over Body and Latent Parts for Person Re-Identification},<br>
booktitle = {The IEEE Conference on Computer Vision and Pattern Recognition (CVPR)},<br>
month = {July},<br>
year = {2017}<br>
}
</div>","<a href=""content_cvpr_2017/papers/Li_Learning_Deep_Context-Aware_CVPR_2017_paper.pdf"">pdf</a>"
"<div class=""bibref"">
@InProceedings{Yan_2017_CVPR,<br>
author = {Yan, Hang and Liu, Yebin and Furukawa, Yasutaka},<br>
title = {Turning an Urban Scene Video Into a Cinemagraph},<br>
booktitle = {The IEEE Conference on Computer Vision and Pattern Recognition (CVPR)},<br>
month = {July},<br>
year = {2017}<br>
}
</div>","<a href=""content_cvpr_2017/papers/Yan_Turning_an_Urban_CVPR_2017_paper.pdf"">pdf</a>"
"<div class=""bibref"">
@InProceedings{Chen_2017_CVPR,<br>
author = {Chen, Weihua and Chen, Xiaotang and Zhang, Jianguo and Huang, Kaiqi},<br>
title = {Beyond Triplet Loss: A Deep Quadruplet Network for Person Re-Identification},<br>
booktitle = {The IEEE Conference on Computer Vision and Pattern Recognition (CVPR)},<br>
month = {July},<br>
year = {2017}<br>
}
</div>","<a href=""content_cvpr_2017/papers/Chen_Beyond_Triplet_Loss_CVPR_2017_paper.pdf"">pdf</a>"
"<div class=""bibref"">
@InProceedings{Liu_2017_CVPR,<br>
author = {Liu, Si and Wang, Changhu and Qian, Ruihe and Yu, Han and Bao, Renda and Sun, Yao},<br>
title = {Surveillance Video Parsing With Single Frame Supervision},<br>
booktitle = {The IEEE Conference on Computer Vision and Pattern Recognition (CVPR)},<br>
month = {July},<br>
year = {2017}<br>
}
</div>","<a href=""content_cvpr_2017/papers/Liu_Surveillance_Video_Parsing_CVPR_2017_paper.pdf"">pdf</a>"
"<div class=""bibref"">
@InProceedings{Mustafa_2017_CVPR,<br>
author = {Mustafa, Armin and Hilton, Adrian},<br>
title = {Semantically Coherent Co-Segmentation and Reconstruction of Dynamic Scenes},<br>
booktitle = {The IEEE Conference on Computer Vision and Pattern Recognition (CVPR)},<br>
month = {July},<br>
year = {2017}<br>
}
</div>","<a href=""content_cvpr_2017/papers/Mustafa_Semantically_Coherent_Co-Segmentation_CVPR_2017_paper.pdf"">pdf</a>"
"<div class=""bibref"">
@InProceedings{Garcia-Hernando_2017_CVPR,<br>
author = {Garcia-Hernando, Guillermo and Kim, Tae-Kyun},<br>
title = {Transition Forests: Learning Discriminative Temporal Transitions for Action Recognition and Detection},<br>
booktitle = {The IEEE Conference on Computer Vision and Pattern Recognition (CVPR)},<br>
month = {July},<br>
year = {2017}<br>
}
</div>","<a href=""content_cvpr_2017/papers/Garcia-Hernando_Transition_Forests_Learning_CVPR_2017_paper.pdf"">pdf</a>"
"<div class=""bibref"">
@InProceedings{Arnab_2017_CVPR,<br>
author = {Arnab, Anurag and Torr, Philip H. S.},<br>
title = {Pixelwise Instance Segmentation With a Dynamically Instantiated Network},<br>
booktitle = {The IEEE Conference on Computer Vision and Pattern Recognition (CVPR)},<br>
month = {July},<br>
year = {2017}<br>
}
</div>","<a href=""content_cvpr_2017/papers/Arnab_Pixelwise_Instance_Segmentation_CVPR_2017_paper.pdf"">pdf</a>"
"<div class=""bibref"">
@InProceedings{Jampani_2017_CVPR,<br>
author = {Jampani, Varun and Gadde, Raghudeep and Gehler, Peter V.},<br>
title = {Video Propagation Networks},<br>
booktitle = {The IEEE Conference on Computer Vision and Pattern Recognition (CVPR)},<br>
month = {July},<br>
year = {2017}<br>
}
</div>","<a href=""content_cvpr_2017/papers/Jampani_Video_Propagation_Networks_CVPR_2017_paper.pdf"">pdf</a>"
"<div class=""bibref"">
@InProceedings{Michel_2017_CVPR,<br>
author = {Michel, Frank and Kirillov, Alexander and Brachmann, Eric and Krull, Alexander and Gumhold, Stefan and Savchynskyy, Bogdan and Rother, Carsten},<br>
title = {Global Hypothesis Generation for 6D Object Pose Estimation},<br>
booktitle = {The IEEE Conference on Computer Vision and Pattern Recognition (CVPR)},<br>
month = {July},<br>
year = {2017}<br>
}
</div>","<a href=""content_cvpr_2017/papers/Michel_Global_Hypothesis_Generation_CVPR_2017_paper.pdf"">pdf</a>"
"<div class=""bibref"">
@InProceedings{Yu_2017_CVPR,<br>
author = {Yu, Fisher and Koltun, Vladlen and Funkhouser, Thomas},<br>
title = {Dilated Residual Networks},<br>
booktitle = {The IEEE Conference on Computer Vision and Pattern Recognition (CVPR)},<br>
month = {July},<br>
year = {2017}<br>
}
</div>","<a href=""content_cvpr_2017/papers/Yu_Dilated_Residual_Networks_CVPR_2017_paper.pdf"">pdf</a>"
"<div class=""bibref"">
@InProceedings{Hu_2017_CVPR,<br>
author = {Hu, Yinlin and Li, Yunsong and Song, Rui},<br>
title = {Robust Interpolation of Correspondences for Large Displacement Optical Flow},<br>
booktitle = {The IEEE Conference on Computer Vision and Pattern Recognition (CVPR)},<br>
month = {July},<br>
year = {2017}<br>
}
</div>","<a href=""content_cvpr_2017/papers/Hu_Robust_Interpolation_of_CVPR_2017_paper.pdf"">pdf</a>"
"<div class=""bibref"">
@InProceedings{Yu_2017_CVPR,<br>
author = {Yu, Youngjae and Choi, Jongwook and Kim, Yeonhwa and Yoo, Kyung and Lee, Sang-Hun and Kim, Gunhee},<br>
title = {Supervising Neural Attention Models for Video Captioning by Human Gaze Data},<br>
booktitle = {The IEEE Conference on Computer Vision and Pattern Recognition (CVPR)},<br>
month = {July},<br>
year = {2017}<br>
}
</div>","<a href=""content_cvpr_2017/papers/Yu_Supervising_Neural_Attention_CVPR_2017_paper.pdf"">pdf</a>"
"<div class=""bibref"">
@InProceedings{Wang_2017_CVPR,<br>
author = {Wang, Hongsong and Wang, Liang},<br>
title = {Modeling Temporal Dynamics and Spatial Configurations of Actions Using Two-Stream Recurrent Neural Networks},<br>
booktitle = {The IEEE Conference on Computer Vision and Pattern Recognition (CVPR)},<br>
month = {July},<br>
year = {2017}<br>
}
</div>","<a href=""content_cvpr_2017/papers/Wang_Modeling_Temporal_Dynamics_CVPR_2017_paper.pdf"">pdf</a>"
"<div class=""bibref"">
@InProceedings{Ye_2017_CVPR,<br>
author = {Ye, Qixiang and Zhang, Tianliang and Ke, Wei and Qiu, Qiang and Chen, Jie and Sapiro, Guillermo and Zhang, Baochang},<br>
title = {Self-Learning Scene-Specific Pedestrian Detectors Using a Progressive Latent Model},<br>
booktitle = {The IEEE Conference on Computer Vision and Pattern Recognition (CVPR)},<br>
month = {July},<br>
year = {2017}<br>
}
</div>","<a href=""content_cvpr_2017/papers/Ye_Self-Learning_Scene-Specific_Pedestrian_CVPR_2017_paper.pdf"">pdf</a>"
"<div class=""bibref"">
@InProceedings{Zhou_2017_CVPR,<br>
author = {Zhou, Yanzhao and Ye, Qixiang and Qiu, Qiang and Jiao, Jianbin},<br>
title = {Oriented Response Networks},<br>
booktitle = {The IEEE Conference on Computer Vision and Pattern Recognition (CVPR)},<br>
month = {July},<br>
year = {2017}<br>
}
</div>","<a href=""content_cvpr_2017/papers/Zhou_Oriented_Response_Networks_CVPR_2017_paper.pdf"">pdf</a>"
"<div class=""bibref"">
@InProceedings{Zhang_2017_CVPR,<br>
author = {Zhang, Yichao and Pintea, Silvia L. and van Gemert, Jan C.},<br>
title = {Video Acceleration Magnification},<br>
booktitle = {The IEEE Conference on Computer Vision and Pattern Recognition (CVPR)},<br>
month = {July},<br>
year = {2017}<br>
}
</div>","<a href=""content_cvpr_2017/papers/Zhang_Video_Acceleration_Magnification_CVPR_2017_paper.pdf"">pdf</a>"
